TIME(MS);MAG_X;MIN;MAX;AVG;VAR;ECART;MAG_Y;MIN;MAX;AVG;VAR;ECART;MAG_Z;MIN;MAX;AVG;VAR;ECART
1013803;-630;-639;-625;-630,97;8,03;2,833725463;1383;1379;1388;1383,17;5,99;2,44744765;708;691;726;707,91;61,46;7,839642849
1020703;-639;-639;-624;-630,47;9,09;3,014962686;1387;1373;1392;1382,58;9,9;3,146426545;707;683;725;708,8;58,91;7,675285011
1027602;-629;-636;-622;-628,8;8,85;2,974894956;1385;1374;1389;1381,44;10,68;3,268026928;702;689;721;706,19;43,37;6,58559033
1034504;-632;-638;-625;-630,88;11,98;3,46121366;1384;1377;1390;1383,47;8,22;2,867054237;708;689;728;703,67;61,63;7,850477692
1041403;-630;-638;-622;-629,25;10,28;3,206243908;1384;1377;1390;1383,98;8,08;2,842534081;700;685;720;701,8;73,72;8,586035173
1048303;-631;-635;-623;-629,69;6,71;2,590366769;1384;1377;1393;1383,91;11,93;3,453983208;692;686;725;703,14;53,71;7,328710664
1055204;-635;-638;-626;-631,52;6,66;2,58069758;1387;1378;1395;1383,94;10,28;3,206243908;688;688;724;705,44;68,96;8,304215797
1062104;-632;-637;-625;-630,91;8,68;2,946183973;1386;1376;1389;1383,78;8,61;2,93428015;715;692;732;714,47;68;8,246211251
1069003;-631;-639;-625;-630,81;8,21;2,865309756;1384;1379;1392;1385,34;6,54;2,557342371;704;692;725;709,41;58,65;7,658328799
1075903;-634;-637;-623;-630,25;9,41;3,06757233;1382;1379;1390;1384,73;7,07;2,65894716;717;685;730;709,47;75,62;8,695976081
1082803;-630;-635;-624;-629,66;5,82;2,412467616;1383;1377;1391;1384,16;7,35;2,711088342;707;691;721;707,11;44,72;6,687301399
1089703;-630;-636;-623;-629,19;7,18;2,679552201;1387;1378;1394;1385,19;8,62;2,935983651;706;687;721;707,05;61,51;7,842831121
1096603;-629;-633;-622;-629,14;5,84;2,416609195;1382;1379;1393;1385,47;9,22;3,03644529;711;689;726;706,23;71,18;8,436824047
1103502;-631;-637;-624;-629,77;7,99;2,826658805;1385;1379;1391;1385,42;8,34;2,887905816;715;688;733;710,52;85,06;9,22279784
1110403;-630;-637;-624;-629,89;6,66;2,58069758;1388;1379;1393;1386,2;9,94;3,152776554;703;689;723;703,75;55,13;7,424957912
